"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Безопасность","1","API Авторизация","2","0","","0"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Создание товара","0"
"3","Корзина и заказы","0","API Корзины","0","0","","0"
"5","Каталог и Склад","0","API Товаров","0","0","Граничные значения цен","0"
"1","Каталог и Склад","0","API Товаров","0","0","Валидация полей","0"
"0","Корзины и Заказы","0","API Заказов","1","0","Безопасность","0"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Отмена действий","0"
"1","Интерфейс Админки","0","UI Авторизация","0","0","Негативные сценарии","0"
"2","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Поиск товаров","0"
"1","Корзины и Заказы","0","API Заказов","0","0","Получение списка","0"
"1","Корзины и Заказы","0","API Заказов","0","0","Поиск заказа","0"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Пагинация таблицы","0"
"1","E2E Сценарии","0","Покупка товара","0","0","От поиска до корзины","0"
"0","Каталог и Склад","0","API Товаров","1","0","Безопасность","0"
"1","Интерфейс Админки","0","UI Авторизация","0","0","Фронтенд валидация","0"
"1","Каталог и Склад","0","API Товаров","0","0","Успешное создание","0"
